GUABIJU  código:430925

Descrição,Valor,Unidade
Total de endereços urbanos,342,endereços
Total de endereços rurais,370,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,531,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,357,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,531,domicílios
População residente ,1598,pessoas
População residente - Homens,806,pessoas
População residente - Mulheres,792,pessoas
População residente alfabetizada,1468,pessoas
População residente - cor ou raça - Branca,1426,pessoas
População residente - cor ou raça - Preta,37,pessoas
População residente - cor ou raça - Parda,120,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,21,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,148.394,Km²
Eleitorado,1458,Eleitores
PIB per capita a preços correntes,21389.06,Reais
Matrícula - Ensino fundamental - 2009,188,Matrículas
Matrícula - Ensino médio - 2009,61,Matrículas
Docentes - Ensino fundamental - 2009,22,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,672721385,Reais
Despesas orçamentárias empenhadas - Correntes,487327697,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,86,Unidades
Pessoal ocupado total,315,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

