GUAÃ­BA  código:430930

Descrição,Valor,Unidade
Total de endereços urbanos,36980,endereços
Total de endereços rurais,1267,endereços
Total de estabelecimentos de ensino,53,estabelecimentos
Total de estabelecimentos de saúde,69,estabelecimentos
Domicílios particulares permanentes,31242,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,29159,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,31154,domicílios
População residente ,95204,pessoas
População residente - Homens,46153,pessoas
População residente - Mulheres,49051,pessoas
População residente alfabetizada,84252,pessoas
População residente - cor ou raça - Branca,78836,pessoas
População residente - cor ou raça - Preta,7585,pessoas
População residente - cor ou raça - Parda,8390,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1115,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,53,pessoas
Área da unidade territorial,376.948,Km²
Eleitorado,66220,Eleitores
PIB per capita a preços correntes,18083.93,Reais
Matrícula - Ensino fundamental - 2009,14852,Matrículas
Matrícula - Ensino médio - 2009,4026,Matrículas
Docentes - Ensino fundamental - 2009,695,Docentes
Docentes - Ensino médio - 2009,225,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1018,pessoas
Receitas orçamentárias realizadas - Correntes,11251401580,Reais
Despesas orçamentárias empenhadas - Correntes,9104804133,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1994587798,Reais
Número de unidades locais,3016,Unidades
Pessoal ocupado total,16705,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

