HORIZONTINA  código:430960

Descrição,Valor,Unidade
Total de endereços urbanos,6867,endereços
Total de endereços rurais,1499,endereços
Total de estabelecimentos de ensino,16,estabelecimentos
Total de estabelecimentos de saúde,18,estabelecimentos
Domicílios particulares permanentes,6578,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6181,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,6561,domicílios
População residente ,18348,pessoas
População residente - Homens,8946,pessoas
População residente - Mulheres,9402,pessoas
População residente alfabetizada,16669,pessoas
População residente - cor ou raça - Branca,16054,pessoas
População residente - cor ou raça - Preta,213,pessoas
População residente - cor ou raça - Parda,2025,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,275,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,22,pessoas
Área da unidade territorial,232.477,Km²
Eleitorado,14992,Eleitores
PIB per capita a preços correntes,28468.98,Reais
Matrícula - Ensino fundamental - 2009,2225,Matrículas
Matrícula - Ensino médio - 2009,910,Matrículas
Docentes - Ensino fundamental - 2009,145,Docentes
Docentes - Ensino médio - 2009,81,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,198,pessoas
Receitas orçamentárias realizadas - Correntes,3542461129,Reais
Despesas orçamentárias empenhadas - Correntes,2704712376,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797779466,Reais
Número de unidades locais,799,Unidades
Pessoal ocupado total,6170,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

