HULHA NEGRA  código:430965

Descrição,Valor,Unidade
Total de endereços urbanos,1298,endereços
Total de endereços rurais,1324,endereços
Total de estabelecimentos de ensino,13,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1926,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1010,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1911,domicílios
População residente ,6043,pessoas
População residente - Homens,3124,pessoas
População residente - Mulheres,2919,pessoas
População residente alfabetizada,4983,pessoas
População residente - cor ou raça - Branca,4375,pessoas
População residente - cor ou raça - Preta,342,pessoas
População residente - cor ou raça - Parda,1292,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,219,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,822.903,Km²
Eleitorado,3854,Eleitores
PIB per capita a preços correntes,15086.29,Reais
Matrícula - Ensino fundamental - 2009,1189,Matrículas
Matrícula - Ensino médio - 2009,325,Matrículas
Docentes - Ensino fundamental - 2009,75,Docentes
Docentes - Ensino médio - 2009,19,Docentes
Estabelecimentos de Saúde SUS,8,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,84,pessoas
Receitas orçamentárias realizadas - Correntes,1114851502,Reais
Despesas orçamentárias empenhadas - Correntes,878914479,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,89,Unidades
Pessoal ocupado total,1502,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

