HUMAITÃ¡  código:430970

Descrição,Valor,Unidade
Total de endereços urbanos,1380,endereços
Total de endereços rurais,789,endereços
Total de estabelecimentos de ensino,11,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,1719,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1436,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1716,domicílios
População residente ,4919,pessoas
População residente - Homens,2387,pessoas
População residente - Mulheres,2532,pessoas
População residente alfabetizada,4473,pessoas
População residente - cor ou raça - Branca,4129,pessoas
População residente - cor ou raça - Preta,130,pessoas
População residente - cor ou raça - Parda,614,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,76,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,134.514,Km²
Eleitorado,4128,Eleitores
PIB per capita a preços correntes,14598.57,Reais
Matrícula - Ensino fundamental - 2009,641,Matrículas
Matrícula - Ensino médio - 2009,262,Matrículas
Docentes - Ensino fundamental - 2009,80,Docentes
Docentes - Ensino médio - 2009,30,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,37,pessoas
Receitas orçamentárias realizadas - Correntes,1050489988,Reais
Despesas orçamentárias empenhadas - Correntes,901512956,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,238,Unidades
Pessoal ocupado total,1080,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

