IBIRAIARAS  código:430990

Descrição,Valor,Unidade
Total de endereços urbanos,1765,endereços
Total de endereços rurais,1234,endereços
Total de estabelecimentos de ensino,21,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,2204,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1431,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2196,domicílios
População residente ,7171,pessoas
População residente - Homens,3588,pessoas
População residente - Mulheres,3583,pessoas
População residente alfabetizada,6303,pessoas
População residente - cor ou raça - Branca,6041,pessoas
População residente - cor ou raça - Preta,145,pessoas
População residente - cor ou raça - Parda,590,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,131,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,300.651,Km²
Eleitorado,5549,Eleitores
PIB per capita a preços correntes,18440.31,Reais
Matrícula - Ensino fundamental - 2009,982,Matrículas
Matrícula - Ensino médio - 2009,248,Matrículas
Docentes - Ensino fundamental - 2009,64,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,50,pessoas
Receitas orçamentárias realizadas - Correntes,1210510971,Reais
Despesas orçamentárias empenhadas - Correntes,978891372,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,311,Unidades
Pessoal ocupado total,1141,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

