IBIRAPUITÃ£  código:430995

Descrição,Valor,Unidade
Total de endereços urbanos,1115,endereços
Total de endereços rurais,796,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1394,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1186,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1388,domicílios
População residente ,4061,pessoas
População residente - Homens,2063,pessoas
População residente - Mulheres,1998,pessoas
População residente alfabetizada,3445,pessoas
População residente - cor ou raça - Branca,3371,pessoas
População residente - cor ou raça - Preta,74,pessoas
População residente - cor ou raça - Parda,573,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,100,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,307.030,Km²
Eleitorado,3100,Eleitores
PIB per capita a preços correntes,12386.18,Reais
Matrícula - Ensino fundamental - 2009,681,Matrículas
Matrícula - Ensino médio - 2009,175,Matrículas
Docentes - Ensino fundamental - 2009,50,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,39,pessoas
Receitas orçamentárias realizadas - Correntes,803062454,Reais
Despesas orçamentárias empenhadas - Correntes,766951905,Reais
Valor do Fundo de Participação dos Municípios  - FPM,322413860,Reais
Número de unidades locais,141,Unidades
Pessoal ocupado total,457,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

