IGREJINHA  código:431010

Descrição,Valor,Unidade
Total de endereços urbanos,12870,endereços
Total de endereços rurais,933,endereços
Total de estabelecimentos de ensino,33,estabelecimentos
Total de estabelecimentos de saúde,33,estabelecimentos
Domicílios particulares permanentes,10594,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,7494,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,10581,domicílios
População residente ,31660,pessoas
População residente - Homens,15461,pessoas
População residente - Mulheres,16199,pessoas
População residente alfabetizada,28048,pessoas
População residente - cor ou raça - Branca,27686,pessoas
População residente - cor ou raça - Preta,755,pessoas
População residente - cor ou raça - Parda,3103,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,139,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,17,pessoas
Área da unidade territorial,135.862,Km²
Eleitorado,21556,Eleitores
PIB per capita a preços correntes,17089.30,Reais
Matrícula - Ensino fundamental - 2009,4643,Matrículas
Matrícula - Ensino médio - 2009,1288,Matrículas
Docentes - Ensino fundamental - 2009,231,Docentes
Docentes - Ensino médio - 2009,56,Docentes
Estabelecimentos de Saúde SUS,19,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,506,pessoas
Receitas orçamentárias realizadas - Correntes,4475189324,Reais
Despesas orçamentárias empenhadas - Correntes,4073946391,Reais
Valor do Fundo de Participação dos Municípios  - FPM,912901419,Reais
Número de unidades locais,1798,Unidades
Pessoal ocupado total,14234,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

