IJUÃ­  código:431020

Descrição,Valor,Unidade
Total de endereços urbanos,29728,endereços
Total de endereços rurais,2955,endereços
Total de estabelecimentos de ensino,74,estabelecimentos
Total de estabelecimentos de saúde,127,estabelecimentos
Domicílios particulares permanentes,26781,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,24871,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,26657,domicílios
População residente ,78915,pessoas
População residente - Homens,38112,pessoas
População residente - Mulheres,40803,pessoas
População residente alfabetizada,70473,pessoas
População residente - cor ou raça - Branca,65519,pessoas
População residente - cor ou raça - Preta,1696,pessoas
População residente - cor ou raça - Parda,11399,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1321,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,107,pessoas
Área da unidade territorial,689.136,Km²
Eleitorado,57671,Eleitores
PIB per capita a preços correntes,18038.60,Reais
Matrícula - Ensino fundamental - 2009,10329,Matrículas
Matrícula - Ensino médio - 2009,3881,Matrículas
Docentes - Ensino fundamental - 2009,670,Docentes
Docentes - Ensino médio - 2009,264,Docentes
Estabelecimentos de Saúde SUS,53,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,1058,pessoas
Receitas orçamentárias realizadas - Correntes,12825753684,Reais
Despesas orçamentárias empenhadas - Correntes,12531607868,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1397666239,Reais
Número de unidades locais,3653,Unidades
Pessoal ocupado total,20604,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

