IMBÃ©  código:431033

Descrição,Valor,Unidade
Total de endereços urbanos,27095,endereços
Total de endereços rurais,7,endereços
Total de estabelecimentos de ensino,17,estabelecimentos
Total de estabelecimentos de saúde,15,estabelecimentos
Domicílios particulares permanentes,6011,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,5767,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5986,domicílios
População residente ,17670,pessoas
População residente - Homens,8663,pessoas
População residente - Mulheres,9007,pessoas
População residente alfabetizada,15640,pessoas
População residente - cor ou raça - Branca,15994,pessoas
População residente - cor ou raça - Preta,542,pessoas
População residente - cor ou raça - Parda,1089,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,168,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,39.395,Km²
Eleitorado,10943,Eleitores
PIB per capita a preços correntes,10824.28,Reais
Matrícula - Ensino fundamental - 2009,2553,Matrículas
Matrícula - Ensino médio - 2009,852,Matrículas
Docentes - Ensino fundamental - 2009,134,Docentes
Docentes - Ensino médio - 2009,30,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,201,pessoas
Receitas orçamentárias realizadas - Correntes,4307297008,Reais
Despesas orçamentárias empenhadas - Correntes,4288485804,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862590,Reais
Número de unidades locais,930,Unidades
Pessoal ocupado total,3969,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

