INDEPENDÃªNCIA  código:431040

Descrição,Valor,Unidade
Total de endereços urbanos,1817,endereços
Total de endereços rurais,1034,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,2258,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1623,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2249,domicílios
População residente ,6618,pessoas
População residente - Homens,3293,pessoas
População residente - Mulheres,3325,pessoas
População residente alfabetizada,5725,pessoas
População residente - cor ou raça - Branca,5480,pessoas
População residente - cor ou raça - Preta,168,pessoas
População residente - cor ou raça - Parda,911,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,333,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,357.440,Km²
Eleitorado,5722,Eleitores
PIB per capita a preços correntes,14570.78,Reais
Matrícula - Ensino fundamental - 2009,965,Matrículas
Matrícula - Ensino médio - 2009,257,Matrículas
Docentes - Ensino fundamental - 2009,64,Docentes
Docentes - Ensino médio - 2009,24,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,40,pessoas
Receitas orçamentárias realizadas - Correntes,1143152903,Reais
Despesas orçamentárias empenhadas - Correntes,881042221,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,198,Unidades
Pessoal ocupado total,871,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

