INHACORÃ¡  código:431041

Descrição,Valor,Unidade
Total de endereços urbanos,642,endereços
Total de endereços rurais,389,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,756,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,703,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,744,domicílios
População residente ,2267,pessoas
População residente - Homens,1148,pessoas
População residente - Mulheres,1119,pessoas
População residente alfabetizada,1876,pessoas
População residente - cor ou raça - Branca,1561,pessoas
População residente - cor ou raça - Preta,105,pessoas
População residente - cor ou raça - Parda,577,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,134,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,114.111,Km²
Eleitorado,1851,Eleitores
PIB per capita a preços correntes,13507.03,Reais
Matrícula - Ensino fundamental - 2009,370,Matrículas
Matrícula - Ensino médio - 2009,130,Matrículas
Docentes - Ensino fundamental - 2009,24,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,33,pessoas
Receitas orçamentárias realizadas - Correntes,742557086,Reais
Despesas orçamentárias empenhadas - Correntes,656989960,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399291394,Reais
Número de unidades locais,58,Unidades
Pessoal ocupado total,270,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

