ITAPUCA  código:431057

Descrição,Valor,Unidade
Total de endereços urbanos,284,endereços
Total de endereços rurais,719,endereços
Total de estabelecimentos de ensino,16,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,716,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,333,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,711,domicílios
População residente ,2344,pessoas
População residente - Homens,1233,pessoas
População residente - Mulheres,1111,pessoas
População residente alfabetizada,2008,pessoas
População residente - cor ou raça - Branca,2029,pessoas
População residente - cor ou raça - Preta,232,pessoas
População residente - cor ou raça - Parda,81,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,39,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,184.250,Km²
Eleitorado,1833,Eleitores
PIB per capita a preços correntes,11278.03,Reais
Matrícula - Ensino fundamental - 2009,388,Matrículas
Matrícula - Ensino médio - 2009,88,Matrículas
Docentes - Ensino fundamental - 2009,37,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,703968053,Reais
Despesas orçamentárias empenhadas - Correntes,538862776,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,53,Unidades
Pessoal ocupado total,173,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

