ITAQUI  código:431060

Descrição,Valor,Unidade
Total de endereços urbanos,12262,endereços
Total de endereços rurais,2012,endereços
Total de estabelecimentos de ensino,34,estabelecimentos
Total de estabelecimentos de saúde,29,estabelecimentos
Domicílios particulares permanentes,11605,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,9737,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,11532,domicílios
População residente ,38159,pessoas
População residente - Homens,19034,pessoas
População residente - Mulheres,19125,pessoas
População residente alfabetizada,32979,pessoas
População residente - cor ou raça - Branca,27728,pessoas
População residente - cor ou raça - Preta,1405,pessoas
População residente - cor ou raça - Parda,8900,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,889,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,37,pessoas
Área da unidade territorial,3404.053,Km²
Eleitorado,26496,Eleitores
PIB per capita a preços correntes,18706.26,Reais
Matrícula - Ensino fundamental - 2009,6623,Matrículas
Matrícula - Ensino médio - 2009,1756,Matrículas
Docentes - Ensino fundamental - 2009,410,Docentes
Docentes - Ensino médio - 2009,132,Docentes
Estabelecimentos de Saúde SUS,9,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,614,pessoas
Receitas orçamentárias realizadas - Correntes,5529953003,Reais
Despesas orçamentárias empenhadas - Correntes,4673977312,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1063477360,Reais
Número de unidades locais,1193,Unidades
Pessoal ocupado total,5873,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

