ITATI  código:431065

Descrição,Valor,Unidade
Total de endereços urbanos,132,endereços
Total de endereços rurais,1289,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,910,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,566,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,901,domicílios
População residente ,2584,pessoas
População residente - Homens,1340,pessoas
População residente - Mulheres,1244,pessoas
População residente alfabetizada,2140,pessoas
População residente - cor ou raça - Branca,2359,pessoas
População residente - cor ou raça - Preta,90,pessoas
População residente - cor ou raça - Parda,90,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,98,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,206.911,Km²
Eleitorado,2485,Eleitores
PIB per capita a preços correntes,6317.87,Reais
Matrícula - Ensino fundamental - 2009,437,Matrículas
Matrícula - Ensino médio - 2009,97,Matrículas
Docentes - Ensino fundamental - 2009,40,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,19,pessoas
Receitas orçamentárias realizadas - Correntes,643675260,Reais
Despesas orçamentárias empenhadas - Correntes,522810086,Reais
Valor do Fundo de Participação dos Municípios  - FPM,400623532,Reais
Número de unidades locais,42,Unidades
Pessoal ocupado total,241,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

