IVOTI  código:431080

Descrição,Valor,Unidade
Total de endereços urbanos,7772,endereços
Total de endereços rurais,807,endereços
Total de estabelecimentos de ensino,19,estabelecimentos
Total de estabelecimentos de saúde,36,estabelecimentos
Domicílios particulares permanentes,6687,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6039,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,6682,domicílios
População residente ,19874,pessoas
População residente - Homens,9801,pessoas
População residente - Mulheres,10073,pessoas
População residente alfabetizada,18029,pessoas
População residente - cor ou raça - Branca,18339,pessoas
População residente - cor ou raça - Preta,257,pessoas
População residente - cor ou raça - Parda,1119,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,75,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,16,pessoas
Área da unidade territorial,63.151,Km²
Eleitorado,13170,Eleitores
PIB per capita a preços correntes,17967.69,Reais
Matrícula - Ensino fundamental - 2009,2587,Matrículas
Matrícula - Ensino médio - 2009,944,Matrículas
Docentes - Ensino fundamental - 2009,169,Docentes
Docentes - Ensino médio - 2009,77,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,345,pessoas
Receitas orçamentárias realizadas - Correntes,3167887053,Reais
Despesas orçamentárias empenhadas - Correntes,2452169033,Reais
Valor do Fundo de Participação dos Municípios  - FPM,806315764,Reais
Número de unidades locais,1070,Unidades
Pessoal ocupado total,7449,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

