JACUTINGA  código:431090

Descrição,Valor,Unidade
Total de endereços urbanos,1192,endereços
Total de endereços rurais,429,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,1219,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,847,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1214,domicílios
População residente ,3633,pessoas
População residente - Homens,1781,pessoas
População residente - Mulheres,1852,pessoas
População residente alfabetizada,3231,pessoas
População residente - cor ou raça - Branca,3078,pessoas
População residente - cor ou raça - Preta,98,pessoas
População residente - cor ou raça - Parda,425,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,73,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,179.297,Km²
Eleitorado,2976,Eleitores
PIB per capita a preços correntes,18093.90,Reais
Matrícula - Ensino fundamental - 2009,455,Matrículas
Matrícula - Ensino médio - 2009,153,Matrículas
Docentes - Ensino fundamental - 2009,44,Docentes
Docentes - Ensino médio - 2009,19,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,23,pessoas
Receitas orçamentárias realizadas - Correntes,889631402,Reais
Despesas orçamentárias empenhadas - Correntes,718765705,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,195,Unidades
Pessoal ocupado total,722,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

