JAGUARI  código:431110

Descrição,Valor,Unidade
Total de endereços urbanos,3207,endereços
Total de endereços rurais,2020,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,3992,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2254,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,3980,domicílios
População residente ,11473,pessoas
População residente - Homens,5738,pessoas
População residente - Mulheres,5735,pessoas
População residente alfabetizada,10279,pessoas
População residente - cor ou raça - Branca,10203,pessoas
População residente - cor ou raça - Preta,218,pessoas
População residente - cor ou raça - Parda,1019,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,292,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,673.404,Km²
Eleitorado,9665,Eleitores
PIB per capita a preços correntes,10551.53,Reais
Matrícula - Ensino fundamental - 2009,1589,Matrículas
Matrícula - Ensino médio - 2009,449,Matrículas
Docentes - Ensino fundamental - 2009,138,Docentes
Docentes - Ensino médio - 2009,42,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,116,pessoas
Receitas orçamentárias realizadas - Correntes,1697165245,Reais
Despesas orçamentárias empenhadas - Correntes,1266999804,Reais
Valor do Fundo de Participação dos Municípios  - FPM,534084909,Reais
Número de unidades locais,357,Unidades
Pessoal ocupado total,1445,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

