JAGUARÃ£O  código:431100

Descrição,Valor,Unidade
Total de endereços urbanos,12123,endereços
Total de endereços rurais,1282,endereços
Total de estabelecimentos de ensino,31,estabelecimentos
Total de estabelecimentos de saúde,42,estabelecimentos
Domicílios particulares permanentes,10017,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,9342,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,9973,domicílios
População residente ,27931,pessoas
População residente - Homens,13588,pessoas
População residente - Mulheres,14343,pessoas
População residente alfabetizada,24230,pessoas
População residente - cor ou raça - Branca,24759,pessoas
População residente - cor ou raça - Preta,1542,pessoas
População residente - cor ou raça - Parda,1576,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,569,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,20,pessoas
Área da unidade territorial,2054.392,Km²
Eleitorado,22081,Eleitores
PIB per capita a preços correntes,11455.52,Reais
Matrícula - Ensino fundamental - 2009,4207,Matrículas
Matrícula - Ensino médio - 2009,989,Matrículas
Docentes - Ensino fundamental - 2009,248,Docentes
Docentes - Ensino médio - 2009,81,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,367,pessoas
Receitas orçamentárias realizadas - Correntes,3233626641,Reais
Despesas orçamentárias empenhadas - Correntes,2789594514,Reais
Valor do Fundo de Participação dos Municípios  - FPM,938304708,Reais
Número de unidades locais,1089,Unidades
Pessoal ocupado total,3874,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

