JÃ³IA  código:431115

Descrição,Valor,Unidade
Total de endereços urbanos,985,endereços
Total de endereços rurais,2434,endereços
Total de estabelecimentos de ensino,31,estabelecimentos
Total de estabelecimentos de saúde,14,estabelecimentos
Domicílios particulares permanentes,2689,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1749,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2671,domicílios
População residente ,8331,pessoas
População residente - Homens,4306,pessoas
População residente - Mulheres,4025,pessoas
População residente alfabetizada,7238,pessoas
População residente - cor ou raça - Branca,6297,pessoas
População residente - cor ou raça - Preta,292,pessoas
População residente - cor ou raça - Parda,1680,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,338,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,26,pessoas
Área da unidade territorial,1235.888,Km²
Eleitorado,6049,Eleitores
PIB per capita a preços correntes,24615.29,Reais
Matrícula - Ensino fundamental - 2009,1410,Matrículas
Matrícula - Ensino médio - 2009,285,Matrículas
Docentes - Ensino fundamental - 2009,113,Docentes
Docentes - Ensino médio - 2009,30,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,100,pessoas
Receitas orçamentárias realizadas - Correntes,1793482852,Reais
Despesas orçamentárias empenhadas - Correntes,1278085301,Reais
Valor do Fundo de Participação dos Municípios  - FPM,433234065,Reais
Número de unidades locais,189,Unidades
Pessoal ocupado total,643,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

