LAGOA BONITA DO SUL  código:431123

Descrição,Valor,Unidade
Total de endereços urbanos,192,endereços
Total de endereços rurais,916,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,854,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,419,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,840,domicílios
População residente ,2662,pessoas
População residente - Homens,1403,pessoas
População residente - Mulheres,1259,pessoas
População residente alfabetizada,2196,pessoas
População residente - cor ou raça - Branca,2171,pessoas
População residente - cor ou raça - Preta,40,pessoas
População residente - cor ou raça - Parda,393,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,138,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,108.499,Km²
Eleitorado,2209,Eleitores
PIB per capita a preços correntes,14337.11,Reais
Matrícula - Ensino fundamental - 2009,400,Matrículas
Matrícula - Ensino médio - 2009,105,Matrículas
Docentes - Ensino fundamental - 2009,37,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,665234429,Reais
Despesas orçamentárias empenhadas - Correntes,560215912,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398843654,Reais
Número de unidades locais,68,Unidades
Pessoal ocupado total,197,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

