LAGOA DOS TRÃªS CANTOS  código:431127

Descrição,Valor,Unidade
Total de endereços urbanos,403,endereços
Total de endereços rurais,315,endereços
Total de estabelecimentos de ensino,3,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,557,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,485,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,556,domicílios
População residente ,1598,pessoas
População residente - Homens,776,pessoas
População residente - Mulheres,822,pessoas
População residente alfabetizada,1502,pessoas
População residente - cor ou raça - Branca,1534,pessoas
População residente - cor ou raça - Preta,10,pessoas
População residente - cor ou raça - Parda,39,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,24,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,138.636,Km²
Eleitorado,1291,Eleitores
PIB per capita a preços correntes,25448.12,Reais
Matrícula - Ensino fundamental - 2009,155,Matrículas
Matrícula - Ensino médio - 2009,54,Matrículas
Docentes - Ensino fundamental - 2009,14,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,743732915,Reais
Despesas orçamentárias empenhadas - Correntes,532301163,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,54,Unidades
Pessoal ocupado total,269,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

