LAGOÃ£O  código:431125

Descrição,Valor,Unidade
Total de endereços urbanos,837,endereços
Total de endereços rurais,1649,endereços
Total de estabelecimentos de ensino,23,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,1938,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,670,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1910,domicílios
População residente ,6185,pessoas
População residente - Homens,3195,pessoas
População residente - Mulheres,2990,pessoas
População residente alfabetizada,4647,pessoas
População residente - cor ou raça - Branca,4893,pessoas
População residente - cor ou raça - Preta,195,pessoas
População residente - cor ou raça - Parda,1000,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,347,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,383.603,Km²
Eleitorado,4627,Eleitores
PIB per capita a preços correntes,8601.47,Reais
Matrícula - Ensino fundamental - 2009,1176,Matrículas
Matrícula - Ensino médio - 2009,216,Matrículas
Docentes - Ensino fundamental - 2009,104,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,70,pessoas
Receitas orçamentárias realizadas - Correntes,1013286129,Reais
Despesas orçamentárias empenhadas - Correntes,813751087,Reais
Valor do Fundo de Participação dos Municípios  - FPM,382149136,Reais
Número de unidades locais,63,Unidades
Pessoal ocupado total,365,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

