LAJEADO DO BUGRE  código:431142

Descrição,Valor,Unidade
Total de endereços urbanos,343,endereços
Total de endereços rurais,650,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,802,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,713,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,784,domicílios
População residente ,2487,pessoas
População residente - Homens,1253,pessoas
População residente - Mulheres,1234,pessoas
População residente alfabetizada,1864,pessoas
População residente - cor ou raça - Branca,1695,pessoas
População residente - cor ou raça - Preta,29,pessoas
População residente - cor ou raça - Parda,719,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,145,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,67.934,Km²
Eleitorado,1513,Eleitores
PIB per capita a preços correntes,10628.75,Reais
Matrícula - Ensino fundamental - 2009,452,Matrículas
Matrícula - Ensino médio - 2009,60,Matrículas
Docentes - Ensino fundamental - 2009,35,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,602466059,Reais
Despesas orçamentárias empenhadas - Correntes,468758337,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399082694,Reais
Número de unidades locais,39,Unidades
Pessoal ocupado total,234,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

