LAJEADO  código:431140

Descrição,Valor,Unidade
Total de endereços urbanos,32020,endereços
Total de endereços rurais,121,endereços
Total de estabelecimentos de ensino,62,estabelecimentos
Total de estabelecimentos de saúde,82,estabelecimentos
Domicílios particulares permanentes,24962,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,22157,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,24928,domicílios
População residente ,71445,pessoas
População residente - Homens,34731,pessoas
População residente - Mulheres,36714,pessoas
População residente alfabetizada,64112,pessoas
População residente - cor ou raça - Branca,64006,pessoas
População residente - cor ou raça - Preta,1849,pessoas
População residente - cor ou raça - Parda,5452,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,299,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,128,pessoas
Área da unidade territorial,90.088,Km²
Eleitorado,48347,Eleitores
PIB per capita a preços correntes,22785.00,Reais
Matrícula - Ensino fundamental - 2009,9031,Matrículas
Matrícula - Ensino médio - 2009,2894,Matrículas
Docentes - Ensino fundamental - 2009,614,Docentes
Docentes - Ensino médio - 2009,204,Docentes
Estabelecimentos de Saúde SUS,31,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,849,pessoas
Receitas orçamentárias realizadas - Correntes,9891679894,Reais
Despesas orçamentárias empenhadas - Correntes,8076993783,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1595670242,Reais
Número de unidades locais,4668,Unidades
Pessoal ocupado total,33428,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

