LINDOLFO COLLOR  código:431162

Descrição,Valor,Unidade
Total de endereços urbanos,1742,endereços
Total de endereços rurais,385,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,1746,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1536,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1743,domicílios
População residente ,5227,pessoas
População residente - Homens,2679,pessoas
População residente - Mulheres,2548,pessoas
População residente alfabetizada,4614,pessoas
População residente - cor ou raça - Branca,4621,pessoas
População residente - cor ou raça - Preta,114,pessoas
População residente - cor ou raça - Parda,483,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,23,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,32.991,Km²
Eleitorado,3789,Eleitores
PIB per capita a preços correntes,15393.27,Reais
Matrícula - Ensino fundamental - 2009,766,Matrículas
Matrícula - Ensino médio - 2009,221,Matrículas
Docentes - Ensino fundamental - 2009,51,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1078954493,Reais
Despesas orçamentárias empenhadas - Correntes,814483683,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,154,Unidades
Pessoal ocupado total,2892,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

