MACHADINHO  código:431170

Descrição,Valor,Unidade
Total de endereços urbanos,1785,endereços
Total de endereços rurais,983,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,1907,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1193,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1900,domicílios
População residente ,5510,pessoas
População residente - Homens,2757,pessoas
População residente - Mulheres,2753,pessoas
População residente alfabetizada,4605,pessoas
População residente - cor ou raça - Branca,4305,pessoas
População residente - cor ou raça - Preta,220,pessoas
População residente - cor ou raça - Parda,913,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,160,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,7,pessoas
Área da unidade territorial,334.446,Km²
Eleitorado,3997,Eleitores
PIB per capita a preços correntes,11195.46,Reais
Matrícula - Ensino fundamental - 2009,837,Matrículas
Matrícula - Ensino médio - 2009,174,Matrículas
Docentes - Ensino fundamental - 2009,53,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,45,pessoas
Receitas orçamentárias realizadas - Correntes,1141901169,Reais
Despesas orçamentárias empenhadas - Correntes,864613717,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398317573,Reais
Número de unidades locais,175,Unidades
Pessoal ocupado total,575,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

