MANOEL VIANA  código:431175

Descrição,Valor,Unidade
Total de endereços urbanos,2596,endereços
Total de endereços rurais,869,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,12,estabelecimentos
Domicílios particulares permanentes,2505,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1993,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2491,domicílios
População residente ,7072,pessoas
População residente - Homens,3556,pessoas
População residente - Mulheres,3516,pessoas
População residente alfabetizada,5947,pessoas
População residente - cor ou raça - Branca,5801,pessoas
População residente - cor ou raça - Preta,349,pessoas
População residente - cor ou raça - Parda,873,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,298,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,1390.702,Km²
Eleitorado,5958,Eleitores
PIB per capita a preços correntes,14665.50,Reais
Matrícula - Ensino fundamental - 2009,1184,Matrículas
Matrícula - Ensino médio - 2009,224,Matrículas
Docentes - Ensino fundamental - 2009,81,Docentes
Docentes - Ensino médio - 2009,20,Docentes
Estabelecimentos de Saúde SUS,6,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,88,pessoas
Receitas orçamentárias realizadas - Correntes,1106164505,Reais
Despesas orçamentárias empenhadas - Correntes,874179798,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,209,Unidades
Pessoal ocupado total,729,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

