MAQUINÃ©  código:431177

Descrição,Valor,Unidade
Total de endereços urbanos,1087,endereços
Total de endereços rurais,2480,endereços
Total de estabelecimentos de ensino,12,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,2322,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1016,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2304,domicílios
População residente ,6905,pessoas
População residente - Homens,3523,pessoas
População residente - Mulheres,3382,pessoas
População residente alfabetizada,5974,pessoas
População residente - cor ou raça - Branca,6051,pessoas
População residente - cor ou raça - Preta,319,pessoas
População residente - cor ou raça - Parda,499,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,114,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,621.696,Km²
Eleitorado,5744,Eleitores
PIB per capita a preços correntes,9885.58,Reais
Matrícula - Ensino fundamental - 2009,1180,Matrículas
Matrícula - Ensino médio - 2009,267,Matrículas
Docentes - Ensino fundamental - 2009,100,Docentes
Docentes - Ensino médio - 2009,23,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,74,pessoas
Receitas orçamentárias realizadas - Correntes,1068098417,Reais
Despesas orçamentárias empenhadas - Correntes,847137712,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398206627,Reais
Número de unidades locais,180,Unidades
Pessoal ocupado total,4427,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

