MARATÃ¡  código:431179

Descrição,Valor,Unidade
Total de endereços urbanos,398,endereços
Total de endereços rurais,709,endereços
Total de estabelecimentos de ensino,10,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,840,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,700,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,839,domicílios
População residente ,2527,pessoas
População residente - Homens,1272,pessoas
População residente - Mulheres,1255,pessoas
População residente alfabetizada,2338,pessoas
População residente - cor ou raça - Branca,2449,pessoas
População residente - cor ou raça - Preta,16,pessoas
População residente - cor ou raça - Parda,58,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,18,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,81.179,Km²
Eleitorado,2157,Eleitores
PIB per capita a preços correntes,15618.97,Reais
Matrícula - Ensino fundamental - 2009,323,Matrículas
Matrícula - Ensino médio - 2009,92,Matrículas
Docentes - Ensino fundamental - 2009,28,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,897693330,Reais
Despesas orçamentárias empenhadas - Correntes,708467679,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,130,Unidades
Pessoal ocupado total,773,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

