MARQUES DE SOUZA  código:431205

Descrição,Valor,Unidade
Total de endereços urbanos,942,endereços
Total de endereços rurais,1161,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,1435,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1069,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1429,domicílios
População residente ,4068,pessoas
População residente - Homens,2039,pessoas
População residente - Mulheres,2029,pessoas
População residente alfabetizada,3601,pessoas
População residente - cor ou raça - Branca,3863,pessoas
População residente - cor ou raça - Preta,10,pessoas
População residente - cor ou raça - Parda,193,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,86,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,125.176,Km²
Eleitorado,3425,Eleitores
PIB per capita a preços correntes,10799.22,Reais
Matrícula - Ensino fundamental - 2009,478,Matrículas
Matrícula - Ensino médio - 2009,107,Matrículas
Docentes - Ensino fundamental - 2009,52,Docentes
Docentes - Ensino médio - 2009,15,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,40,pessoas
Receitas orçamentárias realizadas - Correntes,964189441,Reais
Despesas orçamentárias empenhadas - Correntes,721070412,Reais
Valor do Fundo de Participação dos Municípios  - FPM,407402590,Reais
Número de unidades locais,263,Unidades
Pessoal ocupado total,702,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

