MATO CASTELHANO  código:431213

Descrição,Valor,Unidade
Total de endereços urbanos,272,endereços
Total de endereços rurais,1054,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,804,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,342,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,800,domicílios
População residente ,2470,pessoas
População residente - Homens,1292,pessoas
População residente - Mulheres,1178,pessoas
População residente alfabetizada,2081,pessoas
População residente - cor ou raça - Branca,1986,pessoas
População residente - cor ou raça - Preta,24,pessoas
População residente - cor ou raça - Parda,302,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,50,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,238.365,Km²
Eleitorado,2139,Eleitores
PIB per capita a preços correntes,18813.81,Reais
Matrícula - Ensino fundamental - 2009,399,Matrículas
Matrícula - Ensino médio - 2009,101,Matrículas
Docentes - Ensino fundamental - 2009,30,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,785501826,Reais
Despesas orçamentárias empenhadas - Correntes,602722469,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398355186,Reais
Número de unidades locais,66,Unidades
Pessoal ocupado total,361,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

