MAÃ§AMBARA  código:431171

Descrição,Valor,Unidade
Total de endereços urbanos,630,endereços
Total de endereços rurais,1427,endereços
Total de estabelecimentos de ensino,7,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,1489,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,886,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1481,domicílios
População residente ,4738,pessoas
População residente - Homens,2418,pessoas
População residente - Mulheres,2320,pessoas
População residente alfabetizada,3945,pessoas
População residente - cor ou raça - Branca,3756,pessoas
População residente - cor ou raça - Preta,227,pessoas
População residente - cor ou raça - Parda,735,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,187,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,1682.828,Km²
Eleitorado,3828,Eleitores
PIB per capita a preços correntes,28089.18,Reais
Matrícula - Ensino fundamental - 2009,1045,Matrículas
Matrícula - Ensino médio - 2009,277,Matrículas
Docentes - Ensino fundamental - 2009,86,Docentes
Docentes - Ensino médio - 2009,24,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1178855142,Reais
Despesas orçamentárias empenhadas - Correntes,961022893,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399803766,Reais
Número de unidades locais,83,Unidades
Pessoal ocupado total,403,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

