MIRAGUAÃ­  código:431230

Descrição,Valor,Unidade
Total de endereços urbanos,1044,endereços
Total de endereços rurais,1098,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,1626,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1144,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1616,domicílios
População residente ,4855,pessoas
População residente - Homens,2413,pessoas
População residente - Mulheres,2442,pessoas
População residente alfabetizada,4106,pessoas
População residente - cor ou raça - Branca,3929,pessoas
População residente - cor ou raça - Preta,133,pessoas
População residente - cor ou raça - Parda,693,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,193,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,130.386,Km²
Eleitorado,3685,Eleitores
PIB per capita a preços correntes,9184.65,Reais
Matrícula - Ensino fundamental - 2009,784,Matrículas
Matrícula - Ensino médio - 2009,515,Matrículas
Docentes - Ensino fundamental - 2009,76,Docentes
Docentes - Ensino médio - 2009,33,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,47,pessoas
Receitas orçamentárias realizadas - Correntes,814573655,Reais
Despesas orçamentárias empenhadas - Correntes,642350623,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398774824,Reais
Número de unidades locais,124,Unidades
Pessoal ocupado total,665,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

