MONTENEGRO  código:431240

Descrição,Valor,Unidade
Total de endereços urbanos,23074,endereços
Total de endereços rurais,2477,endereços
Total de estabelecimentos de ensino,52,estabelecimentos
Total de estabelecimentos de saúde,85,estabelecimentos
Domicílios particulares permanentes,19940,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,15963,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,19892,domicílios
População residente ,59415,pessoas
População residente - Homens,29245,pessoas
População residente - Mulheres,30170,pessoas
População residente alfabetizada,52672,pessoas
População residente - cor ou raça - Branca,52301,pessoas
População residente - cor ou raça - Preta,2892,pessoas
População residente - cor ou raça - Parda,4082,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,619,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,46,pessoas
Área da unidade territorial,424.013,Km²
Eleitorado,40466,Eleitores
PIB per capita a preços correntes,24041.58,Reais
Matrícula - Ensino fundamental - 2009,8541,Matrículas
Matrícula - Ensino médio - 2009,2233,Matrículas
Docentes - Ensino fundamental - 2009,395,Docentes
Docentes - Ensino médio - 2009,136,Docentes
Estabelecimentos de Saúde SUS,9,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,896,pessoas
Receitas orçamentárias realizadas - Correntes,9177636778,Reais
Despesas orçamentárias empenhadas - Correntes,7334441597,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1462697718,Reais
Número de unidades locais,2756,Unidades
Pessoal ocupado total,18269,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

