MORMAÃ§O  código:431242

Descrição,Valor,Unidade
Total de endereços urbanos,315,endereços
Total de endereços rurais,804,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,5,estabelecimentos
Domicílios particulares permanentes,879,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,818,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,874,domicílios
População residente ,2749,pessoas
População residente - Homens,1396,pessoas
População residente - Mulheres,1353,pessoas
População residente alfabetizada,2328,pessoas
População residente - cor ou raça - Branca,2380,pessoas
População residente - cor ou raça - Preta,28,pessoas
População residente - cor ou raça - Parda,331,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,79,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,146.109,Km²
Eleitorado,2118,Eleitores
PIB per capita a preços correntes,15547.85,Reais
Matrícula - Ensino fundamental - 2009,430,Matrículas
Matrícula - Ensino médio - 2009,117,Matrículas
Docentes - Ensino fundamental - 2009,34,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,27,pessoas
Receitas orçamentárias realizadas - Correntes,790232361,Reais
Despesas orçamentárias empenhadas - Correntes,567686396,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,126,Unidades
Pessoal ocupado total,387,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

