MORRINHOS DO SUL  código:431244

Descrição,Valor,Unidade
Total de endereços urbanos,727,endereços
Total de endereços rurais,997,endereços
Total de estabelecimentos de ensino,5,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,1156,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,861,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1155,domicílios
População residente ,3182,pessoas
População residente - Homens,1617,pessoas
População residente - Mulheres,1565,pessoas
População residente alfabetizada,2784,pessoas
População residente - cor ou raça - Branca,3134,pessoas
População residente - cor ou raça - Preta,8,pessoas
População residente - cor ou raça - Parda,40,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,88,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,165.441,Km²
Eleitorado,2809,Eleitores
PIB per capita a preços correntes,8397.48,Reais
Matrícula - Ensino fundamental - 2009,377,Matrículas
Matrícula - Ensino médio - 2009,135,Matrículas
Docentes - Ensino fundamental - 2009,47,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,36,pessoas
Receitas orçamentárias realizadas - Correntes,772279167,Reais
Despesas orçamentárias empenhadas - Correntes,595270392,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,90,Unidades
Pessoal ocupado total,315,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

