MORRO REDONDO  código:431245

Descrição,Valor,Unidade
Total de endereços urbanos,1290,endereços
Total de endereços rurais,1818,endereços
Total de estabelecimentos de ensino,13,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,2302,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,788,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2294,domicílios
População residente ,6227,pessoas
População residente - Homens,3135,pessoas
População residente - Mulheres,3092,pessoas
População residente alfabetizada,5376,pessoas
População residente - cor ou raça - Branca,5687,pessoas
População residente - cor ou raça - Preta,334,pessoas
População residente - cor ou raça - Parda,131,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,178,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,6,pessoas
Área da unidade territorial,244.646,Km²
Eleitorado,4756,Eleitores
PIB per capita a preços correntes,10351.22,Reais
Matrícula - Ensino fundamental - 2009,810,Matrículas
Matrícula - Ensino médio - 2009,246,Matrículas
Docentes - Ensino fundamental - 2009,61,Docentes
Docentes - Ensino médio - 2009,19,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,52,pessoas
Receitas orçamentárias realizadas - Correntes,987800138,Reais
Despesas orçamentárias empenhadas - Correntes,793386152,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,163,Unidades
Pessoal ocupado total,1900,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

