MORRO REUTER  código:431247

Descrição,Valor,Unidade
Total de endereços urbanos,2352,endereços
Total de endereços rurais,494,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,1928,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1323,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1927,domicílios
População residente ,5676,pessoas
População residente - Homens,2849,pessoas
População residente - Mulheres,2827,pessoas
População residente alfabetizada,5322,pessoas
População residente - cor ou raça - Branca,5402,pessoas
População residente - cor ou raça - Preta,34,pessoas
População residente - cor ou raça - Parda,233,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,34,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,87.641,Km²
Eleitorado,4454,Eleitores
PIB per capita a preços correntes,12282.36,Reais
Matrícula - Ensino fundamental - 2009,683,Matrículas
Matrícula - Ensino médio - 2009,229,Matrículas
Docentes - Ensino fundamental - 2009,63,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1077577903,Reais
Despesas orçamentárias empenhadas - Correntes,927202203,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,232,Unidades
Pessoal ocupado total,2232,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

