MULITERNO  código:431262

Descrição,Valor,Unidade
Total de endereços urbanos,277,endereços
Total de endereços rurais,439,endereços
Total de estabelecimentos de ensino,9,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,544,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,404,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,542,domicílios
População residente ,1813,pessoas
População residente - Homens,923,pessoas
População residente - Mulheres,890,pessoas
População residente alfabetizada,1594,pessoas
População residente - cor ou raça - Branca,1470,pessoas
População residente - cor ou raça - Preta,17,pessoas
População residente - cor ou raça - Parda,115,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,33,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,111.133,Km²
Eleitorado,1429,Eleitores
PIB per capita a preços correntes,17439.35,Reais
Matrícula - Ensino fundamental - 2009,269,Matrículas
Matrícula - Ensino médio - 2009,74,Matrículas
Docentes - Ensino fundamental - 2009,23,Docentes
Docentes - Ensino médio - 2009,9,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,658647968,Reais
Despesas orçamentárias empenhadas - Correntes,462986848,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917539,Reais
Número de unidades locais,92,Unidades
Pessoal ocupado total,249,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

