NOVA BOA VISTA  código:431295

Descrição,Valor,Unidade
Total de endereços urbanos,342,endereços
Total de endereços rurais,572,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,667,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,644,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,666,domicílios
População residente ,1960,pessoas
População residente - Homens,981,pessoas
População residente - Mulheres,979,pessoas
População residente alfabetizada,1828,pessoas
População residente - cor ou raça - Branca,1910,pessoas
População residente - cor ou raça - Preta,11,pessoas
População residente - cor ou raça - Parda,39,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,12,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,94.238,Km²
Eleitorado,1825,Eleitores
PIB per capita a preços correntes,16245.58,Reais
Matrícula - Ensino fundamental - 2009,290,Matrículas
Matrícula - Ensino médio - 2009,102,Matrículas
Docentes - Ensino fundamental - 2009,28,Docentes
Docentes - Ensino médio - 2009,12,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,799275050,Reais
Despesas orçamentárias empenhadas - Correntes,546061165,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398936033,Reais
Número de unidades locais,65,Unidades
Pessoal ocupado total,323,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

