NOVA CANDELÃ¡RIA  código:431301

Descrição,Valor,Unidade
Total de endereços urbanos,391,endereços
Total de endereços rurais,769,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,6,estabelecimentos
Domicílios particulares permanentes,914,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,898,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,914,domicílios
População residente ,2751,pessoas
População residente - Homens,1405,pessoas
População residente - Mulheres,1346,pessoas
População residente alfabetizada,2563,pessoas
População residente - cor ou raça - Branca,2671,pessoas
População residente - cor ou raça - Preta,1,pessoas
População residente - cor ou raça - Parda,79,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,24,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,97.833,Km²
Eleitorado,2266,Eleitores
PIB per capita a preços correntes,19815.42,Reais
Matrícula - Ensino fundamental - 2009,323,Matrículas
Matrícula - Ensino médio - 2009,103,Matrículas
Docentes - Ensino fundamental - 2009,27,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,891343452,Reais
Despesas orçamentárias empenhadas - Correntes,619626266,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917638,Reais
Número de unidades locais,94,Unidades
Pessoal ocupado total,375,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

