NOVA ESPERANÃ§A DO SUL  código:431303

Descrição,Valor,Unidade
Total de endereços urbanos,1553,endereços
Total de endereços rurais,527,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,1589,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1462,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1588,domicílios
População residente ,4671,pessoas
População residente - Homens,2306,pessoas
População residente - Mulheres,2365,pessoas
População residente alfabetizada,4167,pessoas
População residente - cor ou raça - Branca,3958,pessoas
População residente - cor ou raça - Preta,66,pessoas
População residente - cor ou raça - Parda,628,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,111,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,191.001,Km²
Eleitorado,3815,Eleitores
PIB per capita a preços correntes,12995.67,Reais
Matrícula - Ensino fundamental - 2009,703,Matrículas
Matrícula - Ensino médio - 2009,192,Matrículas
Docentes - Ensino fundamental - 2009,49,Docentes
Docentes - Ensino médio - 2009,20,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,48,pessoas
Receitas orçamentárias realizadas - Correntes,915338436,Reais
Despesas orçamentárias empenhadas - Correntes,694799521,Reais
Valor do Fundo de Participação dos Municípios  - FPM,382188136,Reais
Número de unidades locais,208,Unidades
Pessoal ocupado total,1422,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

