NOVA HARTZ  código:431306

Descrição,Valor,Unidade
Total de endereços urbanos,6373,endereços
Total de endereços rurais,1303,endereços
Total de estabelecimentos de ensino,16,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,5917,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,267,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5913,domicílios
População residente ,18346,pessoas
População residente - Homens,9072,pessoas
População residente - Mulheres,9274,pessoas
População residente alfabetizada,16097,pessoas
População residente - cor ou raça - Branca,15472,pessoas
População residente - cor ou raça - Preta,402,pessoas
População residente - cor ou raça - Parda,2399,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,52,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,8,pessoas
Área da unidade territorial,62.558,Km²
Eleitorado,12041,Eleitores
PIB per capita a preços correntes,16498.24,Reais
Matrícula - Ensino fundamental - 2009,2917,Matrículas
Matrícula - Ensino médio - 2009,926,Matrículas
Docentes - Ensino fundamental - 2009,140,Docentes
Docentes - Ensino médio - 2009,34,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,2423683265,Reais
Despesas orçamentárias empenhadas - Correntes,1977037595,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797835124,Reais
Número de unidades locais,618,Unidades
Pessoal ocupado total,7933,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

