NOVA PETRÃ³POLIS  código:431320

Descrição,Valor,Unidade
Total de endereços urbanos,6803,endereços
Total de endereços rurais,2270,endereços
Total de estabelecimentos de ensino,26,estabelecimentos
Total de estabelecimentos de saúde,20,estabelecimentos
Domicílios particulares permanentes,6627,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,4952,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,6623,domicílios
População residente ,19045,pessoas
População residente - Homens,9370,pessoas
População residente - Mulheres,9675,pessoas
População residente alfabetizada,17474,pessoas
População residente - cor ou raça - Branca,17826,pessoas
População residente - cor ou raça - Preta,193,pessoas
População residente - cor ou raça - Parda,931,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,107,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,18,pessoas
Área da unidade territorial,291.301,Km²
Eleitorado,14611,Eleitores
PIB per capita a preços correntes,17185.77,Reais
Matrícula - Ensino fundamental - 2009,2260,Matrículas
Matrícula - Ensino médio - 2009,657,Matrículas
Docentes - Ensino fundamental - 2009,167,Docentes
Docentes - Ensino médio - 2009,53,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,172,pessoas
Receitas orçamentárias realizadas - Correntes,3065976181,Reais
Despesas orçamentárias empenhadas - Correntes,2494537770,Reais
Valor do Fundo de Participação dos Municípios  - FPM,797835124,Reais
Número de unidades locais,1303,Unidades
Pessoal ocupado total,7538,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

