NOVA PRATA  código:431330

Descrição,Valor,Unidade
Total de endereços urbanos,8396,endereços
Total de endereços rurais,1798,endereços
Total de estabelecimentos de ensino,16,estabelecimentos
Total de estabelecimentos de saúde,17,estabelecimentos
Domicílios particulares permanentes,7602,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,6288,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,7601,domicílios
População residente ,22830,pessoas
População residente - Homens,11303,pessoas
População residente - Mulheres,11527,pessoas
População residente alfabetizada,20787,pessoas
População residente - cor ou raça - Branca,19471,pessoas
População residente - cor ou raça - Preta,652,pessoas
População residente - cor ou raça - Parda,2656,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,99,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,22,pessoas
Área da unidade territorial,258.744,Km²
Eleitorado,15744,Eleitores
PIB per capita a preços correntes,32168.91,Reais
Matrícula - Ensino fundamental - 2009,2923,Matrículas
Matrícula - Ensino médio - 2009,923,Matrículas
Docentes - Ensino fundamental - 2009,176,Docentes
Docentes - Ensino médio - 2009,63,Docentes
Estabelecimentos de Saúde SUS,9,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,305,pessoas
Receitas orçamentárias realizadas - Correntes,4423610063,Reais
Despesas orçamentárias empenhadas - Correntes,3336259889,Reais
Valor do Fundo de Participação dos Municípios  - FPM,763962307,Reais
Número de unidades locais,1530,Unidades
Pessoal ocupado total,9098,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

