NOVA PÃ¡DUA  código:431308

Descrição,Valor,Unidade
Total de endereços urbanos,382,endereços
Total de endereços rurais,576,endereços
Total de estabelecimentos de ensino,2,estabelecimentos
Total de estabelecimentos de saúde,1,estabelecimentos
Domicílios particulares permanentes,728,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,474,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,728,domicílios
População residente ,2450,pessoas
População residente - Homens,1258,pessoas
População residente - Mulheres,1192,pessoas
População residente alfabetizada,2246,pessoas
População residente - cor ou raça - Branca,2363,pessoas
População residente - cor ou raça - Preta,9,pessoas
População residente - cor ou raça - Parda,76,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,12,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,103.238,Km²
Eleitorado,2102,Eleitores
PIB per capita a preços correntes,17192.40,Reais
Matrícula - Ensino fundamental - 2009,252,Matrículas
Matrícula - Ensino médio - 2009,81,Matrículas
Docentes - Ensino fundamental - 2009,17,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,11,pessoas
Receitas orçamentárias realizadas - Correntes,891942009,Reais
Despesas orçamentárias empenhadas - Correntes,568578125,Reais
Valor do Fundo de Participação dos Municípios  - FPM,399755388,Reais
Número de unidades locais,129,Unidades
Pessoal ocupado total,351,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

