NOVO BARREIRO  código:431349

Descrição,Valor,Unidade
Total de endereços urbanos,635,endereços
Total de endereços rurais,1054,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,1315,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1213,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1304,domicílios
População residente ,3978,pessoas
População residente - Homens,2032,pessoas
População residente - Mulheres,1946,pessoas
População residente alfabetizada,3344,pessoas
População residente - cor ou raça - Branca,2976,pessoas
População residente - cor ou raça - Preta,99,pessoas
População residente - cor ou raça - Parda,869,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,149,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,4,pessoas
Área da unidade territorial,123.583,Km²
Eleitorado,3070,Eleitores
PIB per capita a preços correntes,10294.21,Reais
Matrícula - Ensino fundamental - 2009,584,Matrículas
Matrícula - Ensino médio - 2009,187,Matrículas
Docentes - Ensino fundamental - 2009,48,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,871613567,Reais
Despesas orçamentárias empenhadas - Correntes,685001033,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,130,Unidades
Pessoal ocupado total,428,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

