NOVO HAMBURGO  código:431340

Descrição,Valor,Unidade
Total de endereços urbanos,101453,endereços
Total de endereços rurais,1954,endereços
Total de estabelecimentos de ensino,165,estabelecimentos
Total de estabelecimentos de saúde,147,estabelecimentos
Domicílios particulares permanentes,80409,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,61458,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,80313,domicílios
População residente ,238940,pessoas
População residente - Homens,115766,pessoas
População residente - Mulheres,123174,pessoas
População residente alfabetizada,211945,pessoas
População residente - cor ou raça - Branca,216058,pessoas
População residente - cor ou raça - Preta,7935,pessoas
População residente - cor ou raça - Parda,14234,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1588,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,368,pessoas
Área da unidade territorial,223.822,Km²
Eleitorado,168531,Eleitores
PIB per capita a preços correntes,17262.16,Reais
Matrícula - Ensino fundamental - 2009,36660,Matrículas
Matrícula - Ensino médio - 2009,9369,Matrículas
Docentes - Ensino fundamental - 2009,1538,Docentes
Docentes - Ensino médio - 2009,564,Docentes
Estabelecimentos de Saúde SUS,37,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,3177,pessoas
Receitas orçamentárias realizadas - Correntes,38870376445,Reais
Despesas orçamentárias empenhadas - Correntes,33617744869,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614220766,Reais
Número de unidades locais,15027,Unidades
Pessoal ocupado total,95368,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

