NOVO MACHADO  código:431342

Descrição,Valor,Unidade
Total de endereços urbanos,754,endereços
Total de endereços rurais,1139,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,1415,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1247,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1405,domicílios
População residente ,3925,pessoas
População residente - Homens,1948,pessoas
População residente - Mulheres,1977,pessoas
População residente alfabetizada,3460,pessoas
População residente - cor ou raça - Branca,3554,pessoas
População residente - cor ou raça - Preta,44,pessoas
População residente - cor ou raça - Parda,321,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,201,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,218.670,Km²
Eleitorado,3357,Eleitores
PIB per capita a preços correntes,12485.95,Reais
Matrícula - Ensino fundamental - 2009,491,Matrículas
Matrícula - Ensino médio - 2009,125,Matrículas
Docentes - Ensino fundamental - 2009,44,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,848329289,Reais
Despesas orçamentárias empenhadas - Correntes,623788354,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,97,Unidades
Pessoal ocupado total,295,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

