NOVO TIRADENTES  código:431344

Descrição,Valor,Unidade
Total de endereços urbanos,330,endereços
Total de endereços rurais,577,endereços
Total de estabelecimentos de ensino,4,estabelecimentos
Total de estabelecimentos de saúde,3,estabelecimentos
Domicílios particulares permanentes,721,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,693,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,717,domicílios
População residente ,2277,pessoas
População residente - Homens,1191,pessoas
População residente - Mulheres,1086,pessoas
População residente alfabetizada,1834,pessoas
População residente - cor ou raça - Branca,1782,pessoas
População residente - cor ou raça - Preta,77,pessoas
População residente - cor ou raça - Parda,417,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,142,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,75.396,Km²
Eleitorado,1965,Eleitores
PIB per capita a preços correntes,9559.63,Reais
Matrícula - Ensino fundamental - 2009,323,Matrículas
Matrícula - Ensino médio - 2009,102,Matrículas
Docentes - Ensino fundamental - 2009,36,Docentes
Docentes - Ensino médio - 2009,14,Docentes
Estabelecimentos de Saúde SUS,1,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,745032126,Reais
Despesas orçamentárias empenhadas - Correntes,558776326,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,67,Unidades
Pessoal ocupado total,196,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

