NOVO XINGU  código:431346

Descrição,Valor,Unidade
Total de endereços urbanos,281,endereços
Total de endereços rurais,492,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,575,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,556,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,575,domicílios
População residente ,1757,pessoas
População residente - Homens,861,pessoas
População residente - Mulheres,896,pessoas
População residente alfabetizada,1576,pessoas
População residente - cor ou raça - Branca,1598,pessoas
População residente - cor ou raça - Preta,13,pessoas
População residente - cor ou raça - Parda,131,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,46,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,80.591,Km²
Eleitorado,1476,Eleitores
PIB per capita a preços correntes,12072.35,Reais
Matrícula - Ensino fundamental - 2009,178,Matrículas
Matrícula - Ensino médio - 2009,66,Matrículas
Docentes - Ensino fundamental - 2009,22,Docentes
Docentes - Ensino médio - 2009,10,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,633879786,Reais
Despesas orçamentárias empenhadas - Correntes,467872964,Reais
Valor do Fundo de Participação dos Municípios  - FPM,395821260,Reais
Número de unidades locais,61,Unidades
Pessoal ocupado total,224,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

