NÃ£O-ME-TOQUE  código:431265

Descrição,Valor,Unidade
Total de endereços urbanos,5968,endereços
Total de endereços rurais,777,endereços
Total de estabelecimentos de ensino,19,estabelecimentos
Total de estabelecimentos de saúde,34,estabelecimentos
Domicílios particulares permanentes,5505,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,5186,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,5501,domicílios
População residente ,15936,pessoas
População residente - Homens,7855,pessoas
População residente - Mulheres,8081,pessoas
População residente alfabetizada,14311,pessoas
População residente - cor ou raça - Branca,13510,pessoas
População residente - cor ou raça - Preta,321,pessoas
População residente - cor ou raça - Parda,2084,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,148,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,28,pessoas
Área da unidade territorial,361.672,Km²
Eleitorado,11982,Eleitores
PIB per capita a preços correntes,29143.00,Reais
Matrícula - Ensino fundamental - 2009,2039,Matrículas
Matrícula - Ensino médio - 2009,527,Matrículas
Docentes - Ensino fundamental - 2009,126,Docentes
Docentes - Ensino médio - 2009,30,Docentes
Estabelecimentos de Saúde SUS,10,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,177,pessoas
Receitas orçamentárias realizadas - Correntes,2720276131,Reais
Despesas orçamentárias empenhadas - Correntes,2245433966,Reais
Valor do Fundo de Participação dos Municípios  - FPM,664862595,Reais
Número de unidades locais,651,Unidades
Pessoal ocupado total,5457,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

