OSÃ³RIO  código:431350

Descrição,Valor,Unidade
Total de endereços urbanos,19956,endereços
Total de endereços rurais,1361,endereços
Total de estabelecimentos de ensino,33,estabelecimentos
Total de estabelecimentos de saúde,30,estabelecimentos
Domicílios particulares permanentes,13415,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,9214,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,13393,domicílios
População residente ,40906,pessoas
População residente - Homens,20157,pessoas
População residente - Mulheres,20749,pessoas
População residente alfabetizada,36175,pessoas
População residente - cor ou raça - Branca,35641,pessoas
População residente - cor ou raça - Preta,2035,pessoas
População residente - cor ou raça - Parda,3075,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,344,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,39,pessoas
Área da unidade territorial,663.555,Km²
Eleitorado,29356,Eleitores
PIB per capita a preços correntes,12970.21,Reais
Matrícula - Ensino fundamental - 2009,6324,Matrículas
Matrícula - Ensino médio - 2009,1805,Matrículas
Docentes - Ensino fundamental - 2009,352,Docentes
Docentes - Ensino médio - 2009,130,Docentes
Estabelecimentos de Saúde SUS,23,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,515,pessoas
Receitas orçamentárias realizadas - Correntes,12587535748,Reais
Despesas orçamentárias empenhadas - Correntes,7462939208,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1219335899,Reais
Número de unidades locais,1773,Unidades
Pessoal ocupado total,11236,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

