PALMEIRA DAS MISSÃµES  código:431370

Descrição,Valor,Unidade
Total de endereços urbanos,12583,endereços
Total de endereços rurais,1846,endereços
Total de estabelecimentos de ensino,34,estabelecimentos
Total de estabelecimentos de saúde,47,estabelecimentos
Domicílios particulares permanentes,11095,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,9849,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,10998,domicílios
População residente ,34328,pessoas
População residente - Homens,16641,pessoas
População residente - Mulheres,17687,pessoas
População residente alfabetizada,29007,pessoas
População residente - cor ou raça - Branca,26128,pessoas
População residente - cor ou raça - Preta,1425,pessoas
População residente - cor ou raça - Parda,6501,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,992,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,24,pessoas
Área da unidade territorial,1419.435,Km²
Eleitorado,23376,Eleitores
PIB per capita a preços correntes,15475.28,Reais
Matrícula - Ensino fundamental - 2009,5470,Matrículas
Matrícula - Ensino médio - 2009,1504,Matrículas
Docentes - Ensino fundamental - 2009,352,Docentes
Docentes - Ensino médio - 2009,120,Docentes
Estabelecimentos de Saúde SUS,30,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,661,pessoas
Receitas orçamentárias realizadas - Correntes,3917896517,Reais
Despesas orçamentárias empenhadas - Correntes,3001871016,Reais
Valor do Fundo de Participação dos Municípios  - FPM,1108355623,Reais
Número de unidades locais,1233,Unidades
Pessoal ocupado total,5382,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

