PALMITINHO  código:431380

Descrição,Valor,Unidade
Total de endereços urbanos,1572,endereços
Total de endereços rurais,1405,endereços
Total de estabelecimentos de ensino,11,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,2291,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1523,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2278,domicílios
População residente ,6920,pessoas
População residente - Homens,3494,pessoas
População residente - Mulheres,3426,pessoas
População residente alfabetizada,5935,pessoas
População residente - cor ou raça - Branca,5760,pessoas
População residente - cor ou raça - Preta,167,pessoas
População residente - cor ou raça - Parda,957,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,273,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,3,pessoas
Área da unidade territorial,144.046,Km²
Eleitorado,5518,Eleitores
PIB per capita a preços correntes,10789.55,Reais
Matrícula - Ensino fundamental - 2009,1046,Matrículas
Matrícula - Ensino médio - 2009,346,Matrículas
Docentes - Ensino fundamental - 2009,87,Docentes
Docentes - Ensino médio - 2009,33,Docentes
Estabelecimentos de Saúde SUS,4,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,139,pessoas
Receitas orçamentárias realizadas - Correntes,994583320,Reais
Despesas orçamentárias empenhadas - Correntes,826720312,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,244,Unidades
Pessoal ocupado total,990,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

