PARAÃ­SO DO SUL  código:431402

Descrição,Valor,Unidade
Total de endereços urbanos,1444,endereços
Total de endereços rurais,1887,endereços
Total de estabelecimentos de ensino,13,estabelecimentos
Total de estabelecimentos de saúde,7,estabelecimentos
Domicílios particulares permanentes,2522,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,1575,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2509,domicílios
População residente ,7336,pessoas
População residente - Homens,3694,pessoas
População residente - Mulheres,3642,pessoas
População residente alfabetizada,6339,pessoas
População residente - cor ou raça - Branca,6481,pessoas
População residente - cor ou raça - Preta,299,pessoas
População residente - cor ou raça - Parda,544,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,247,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,337.843,Km²
Eleitorado,5810,Eleitores
PIB per capita a preços correntes,12410.16,Reais
Matrícula - Ensino fundamental - 2009,857,Matrículas
Matrícula - Ensino médio - 2009,177,Matrículas
Docentes - Ensino fundamental - 2009,65,Docentes
Docentes - Ensino médio - 2009,18,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,68,pessoas
Receitas orçamentárias realizadas - Correntes,1076526207,Reais
Despesas orçamentárias empenhadas - Correntes,881964768,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,231,Unidades
Pessoal ocupado total,782,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

