PARECI NOVO  código:431403

Descrição,Valor,Unidade
Total de endereços urbanos,490,endereços
Total de endereços rurais,1186,endereços
Total de estabelecimentos de ensino,6,estabelecimentos
Total de estabelecimentos de saúde,4,estabelecimentos
Domicílios particulares permanentes,1177,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,636,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1176,domicílios
População residente ,3511,pessoas
População residente - Homens,1784,pessoas
População residente - Mulheres,1727,pessoas
População residente alfabetizada,3252,pessoas
População residente - cor ou raça - Branca,3387,pessoas
População residente - cor ou raça - Preta,29,pessoas
População residente - cor ou raça - Parda,92,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,23,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,5,pessoas
Área da unidade territorial,57.407,Km²
Eleitorado,2595,Eleitores
PIB per capita a preços correntes,14358.12,Reais
Matrícula - Ensino fundamental - 2009,420,Matrículas
Matrícula - Ensino médio - 2009,112,Matrículas
Docentes - Ensino fundamental - 2009,37,Docentes
Docentes - Ensino médio - 2009,11,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,1050554982,Reais
Despesas orçamentárias empenhadas - Correntes,790575836,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,165,Unidades
Pessoal ocupado total,708,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

