PASSA SETE  código:431406

Descrição,Valor,Unidade
Total de endereços urbanos,308,endereços
Total de endereços rurais,1668,endereços
Total de estabelecimentos de ensino,8,estabelecimentos
Total de estabelecimentos de saúde,8,estabelecimentos
Domicílios particulares permanentes,1616,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,512,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1587,domicílios
População residente ,5154,pessoas
População residente - Homens,2678,pessoas
População residente - Mulheres,2476,pessoas
População residente alfabetizada,4186,pessoas
População residente - cor ou raça - Branca,4413,pessoas
População residente - cor ou raça - Preta,123,pessoas
População residente - cor ou raça - Parda,532,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,355,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,-,pessoas
Área da unidade territorial,304.540,Km²
Eleitorado,3729,Eleitores
PIB per capita a preços correntes,12231.87,Reais
Matrícula - Ensino fundamental - 2009,991,Matrículas
Matrícula - Ensino médio - 2009,216,Matrículas
Docentes - Ensino fundamental - 2009,70,Docentes
Docentes - Ensino médio - 2009,17,Docentes
Estabelecimentos de Saúde SUS,7,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,57,pessoas
Receitas orçamentárias realizadas - Correntes,1009265932,Reais
Despesas orçamentárias empenhadas - Correntes,805109426,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,98,Unidades
Pessoal ocupado total,304,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

