PASSO FUNDO  código:431410

Descrição,Valor,Unidade
Total de endereços urbanos,74995,endereços
Total de endereços rurais,2001,endereços
Total de estabelecimentos de ensino,161,estabelecimentos
Total de estabelecimentos de saúde,202,estabelecimentos
Domicílios particulares permanentes,61744,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,58571,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,61609,domicílios
População residente ,184826,pessoas
População residente - Homens,88050,pessoas
População residente - Mulheres,96776,pessoas
População residente alfabetizada,164179,pessoas
População residente - cor ou raça - Branca,153732,pessoas
População residente - cor ou raça - Preta,4607,pessoas
População residente - cor ou raça - Parda,25733,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,1066,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,324,pessoas
Área da unidade territorial,783.423,Km²
Eleitorado,124528,Eleitores
PIB per capita a preços correntes,18789.24,Reais
Matrícula - Ensino fundamental - 2009,26725,Matrículas
Matrícula - Ensino médio - 2009,7041,Matrículas
Docentes - Ensino fundamental - 2009,1390,Docentes
Docentes - Ensino médio - 2009,522,Docentes
Estabelecimentos de Saúde SUS,65,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,3189,pessoas
Receitas orçamentárias realizadas - Correntes,22546555603,Reais
Despesas orçamentárias empenhadas - Correntes,17769862429,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614220766,Reais
Número de unidades locais,9207,Unidades
Pessoal ocupado total,58561,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

