PAVERAMA  código:431415

Descrição,Valor,Unidade
Total de endereços urbanos,1936,endereços
Total de endereços rurais,1968,endereços
Total de estabelecimentos de ensino,15,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,2877,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,2389,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,2862,domicílios
População residente ,8044,pessoas
População residente - Homens,4050,pessoas
População residente - Mulheres,3994,pessoas
População residente alfabetizada,7012,pessoas
População residente - cor ou raça - Branca,7566,pessoas
População residente - cor ou raça - Preta,213,pessoas
População residente - cor ou raça - Parda,255,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,71,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,1,pessoas
Área da unidade territorial,171.864,Km²
Eleitorado,5849,Eleitores
PIB per capita a preços correntes,9390.85,Reais
Matrícula - Ensino fundamental - 2009,797,Matrículas
Matrícula - Ensino médio - 2009,216,Matrículas
Docentes - Ensino fundamental - 2009,53,Docentes
Docentes - Ensino médio - 2009,18,Docentes
Estabelecimentos de Saúde SUS,3,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,62,pessoas
Receitas orçamentárias realizadas - Correntes,1131189000,Reais
Despesas orçamentárias empenhadas - Correntes,861932000,Reais
Valor do Fundo de Participação dos Municípios  - FPM,400288000,Reais
Número de unidades locais,281,Unidades
Pessoal ocupado total,1405,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

