PELOTAS  código:431440

Descrição,Valor,Unidade
Total de endereços urbanos,135355,endereços
Total de endereços rurais,8881,endereços
Total de estabelecimentos de ensino,250,estabelecimentos
Total de estabelecimentos de saúde,328,estabelecimentos
Domicílios particulares permanentes,113951,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,107225,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,113429,domicílios
População residente ,328275,pessoas
População residente - Homens,154198,pessoas
População residente - Mulheres,174077,pessoas
População residente alfabetizada,292081,pessoas
População residente - cor ou raça - Branca,263443,pessoas
População residente - cor ou raça - Preta,35049,pessoas
População residente - cor ou raça - Parda,28245,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,3610,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,352,pessoas
Área da unidade territorial,1610.091,Km²
Eleitorado,239370,Eleitores
PIB per capita a preços correntes,10386.48,Reais
Matrícula - Ensino fundamental - 2009,48096,Matrículas
Matrícula - Ensino médio - 2009,12677,Matrículas
Docentes - Ensino fundamental - 2009,2716,Docentes
Docentes - Ensino médio - 2009,945,Docentes
Estabelecimentos de Saúde SUS,97,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,4419,pessoas
Receitas orçamentárias realizadas - Correntes,38189939056,Reais
Despesas orçamentárias empenhadas - Correntes,34250140979,Reais
Valor do Fundo de Participação dos Municípios  - FPM,3614220766,Reais
Número de unidades locais,11496,Unidades
Pessoal ocupado total,162780,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

