PINHAL GRANDE  código:431447

Descrição,Valor,Unidade
Total de endereços urbanos,884,endereços
Total de endereços rurais,953,endereços
Total de estabelecimentos de ensino,18,estabelecimentos
Total de estabelecimentos de saúde,9,estabelecimentos
Domicílios particulares permanentes,1393,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,971,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1374,domicílios
População residente ,4471,pessoas
População residente - Homens,2314,pessoas
População residente - Mulheres,2157,pessoas
População residente alfabetizada,3874,pessoas
População residente - cor ou raça - Branca,3898,pessoas
População residente - cor ou raça - Preta,119,pessoas
População residente - cor ou raça - Parda,438,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,174,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,2,pessoas
Área da unidade territorial,477.127,Km²
Eleitorado,3681,Eleitores
PIB per capita a preços correntes,24254.51,Reais
Matrícula - Ensino fundamental - 2009,728,Matrículas
Matrícula - Ensino médio - 2009,189,Matrículas
Docentes - Ensino fundamental - 2009,61,Docentes
Docentes - Ensino médio - 2009,16,Docentes
Estabelecimentos de Saúde SUS,5,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,49,pessoas
Receitas orçamentárias realizadas - Correntes,1435779768,Reais
Despesas orçamentárias empenhadas - Correntes,1093312692,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398925487,Reais
Número de unidades locais,111,Unidades
Pessoal ocupado total,516,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

