PINHEIRINHO DO VALE  código:431449

Descrição,Valor,Unidade
Total de endereços urbanos,478,endereços
Total de endereços rurais,1404,endereços
Total de estabelecimentos de ensino,21,estabelecimentos
Total de estabelecimentos de saúde,2,estabelecimentos
Domicílios particulares permanentes,1432,domicílios
Domicílios particulares permanentes - abastecimento de água - Rede geral,700,domicílios
Domicílios particulares permanentes - energia elétrica - Tinham,1423,domicílios
População residente ,4497,pessoas
População residente - Homens,2277,pessoas
População residente - Mulheres,2220,pessoas
População residente alfabetizada,3748,pessoas
População residente - cor ou raça - Branca,3687,pessoas
População residente - cor ou raça - Preta,69,pessoas
População residente - cor ou raça - Parda,731,pessoas
População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ,206,pessoas
População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ,9,pessoas
Área da unidade territorial,105.345,Km²
Eleitorado,3458,Eleitores
PIB per capita a preços correntes,11604.39,Reais
Matrícula - Ensino fundamental - 2009,701,Matrículas
Matrícula - Ensino médio - 2009,174,Matrículas
Docentes - Ensino fundamental - 2009,44,Docentes
Docentes - Ensino médio - 2009,13,Docentes
Estabelecimentos de Saúde SUS,2,estabelecimentos
Nascidos vivos -  registrados - lugar do registro,-,pessoas
Receitas orçamentárias realizadas - Correntes,886747977,Reais
Despesas orçamentárias empenhadas - Correntes,692786900,Reais
Valor do Fundo de Participação dos Municípios  - FPM,398917557,Reais
Número de unidades locais,128,Unidades
Pessoal ocupado total,435,Pessoas
Fonte:IBGE - Instituto Brasileiro de Geografia e Estatística

